dir,250K,300K,350K,290K,275K,310K,325K
1clh_sh,True,True,False,False,False,False,False
1cwf_sh,True,True,True,False,False,False,False
1edp_sh,True,True,False,False,False,False,False
1eq1_sh,True,True,True,True,True,True,True
1hcw,True,True,True,False,False,False,False
1hv2_sh,True,True,True,False,False,False,False
1ib9_sh,True,True,False,False,False,False,False
1j4m_sh,True,True,True,False,False,False,False
1kft_sh,True,True,True,False,False,False,False
1kik_sh,True,True,True,False,False,False,False
1kik_sh,True,True,True,False,False,False,False
1kma,True,True,True,False,False,False,False
1nkl_sh,True,True,True,False,False,False,False
1pce,True,True,True,False,False,False,False
1q71_sh,True,True,False,False,False,False,False
1q8x_sh,True,True,False,False,False,False,False
1qk7_sh,True,True,True,False,False,False,False
1qxf_sh,True,True,True,False,False,False,False
1rij_sh,True,True,False,False,False,False,False
1rim_sh,True,True,False,False,False,False,False
1rq6_sh,True,True,True,False,False,False,False
1ryj_sh,True,True,True,False,False,False,False
1sol_sh,True,True,False,False,False,False,False
1spf_sh,True,True,False,False,False,False,False
1ti3_sh,True,True,True,False,False,False,False
1tvj_sh,True,True,False,False,False,False,False
1uaw_sh,True,True,True,False,False,False,False
1umt,True,True,True,False,False,False,False
1v1d_sh,False,True,False,False,False,False,False
1wn8_sh,False,True,False,False,False,False,False
1wt8_sh,True,True,False,False,False,False,False
1xoo_sh,True,True,False,False,False,False,False
1xwn_sh,True,True,True,True,True,True,True
1y7n_sh,True,True,True,False,False,False,False
1za8_sh,True,True,False,False,False,False,False
2ajj_sh,False,True,False,False,False,False,False
2b0f_sh,True,True,True,False,False,False,False
2baf_sh,False,True,False,False,False,False,False
2ck5_sh,True,True,False,False,False,False,False
2czy_sh,True,True,True,False,False,False,False
2d8b_sh,True,True,True,True,True,True,True
2eqq_sh,True,True,True,False,False,False,False
2eri_sh,True,True,False,False,False,False,False
2f3a_sh,False,True,False,False,False,False,False
2fcd_sh,True,True,True,False,False,False,False
2hdl_sh,True,True,True,False,False,False,False
2igr_sh,True,True,False,False,False,False,False
2il6_sh,True,True,False,False,False,False,False
2it7_sh,True,True,False,False,False,False,False
2jof_sh,True,True,False,False,False,False,False
2k7k_sh,True,True,True,False,False,False,False
2k9b_sh,False,True,False,False,False,False,False
2kb8_sh,False,True,False,False,False,False,False
2kcl_sh,True,True,True,True,True,True,True
2kcu_sh,True,True,False,False,False,False,False
2kcv_sh,True,True,True,False,False,False,False
2kdr_sh,False,True,False,False,False,False,False
2kid_sh,True,True,True,False,False,False,False
2kjg_sh,True,True,True,False,False,False,False
2km6_sh,True,True,True,False,False,False,False
2kq6_sh,True,True,True,False,False,False,False
2krc_sh,True,True,True,False,False,False,False
2krc_sh,True,True,True,False,False,False,False
2l6e_sh,True,True,True,False,False,False,False
2la6_sh,True,True,True,True,True,True,True
2ld0_sh,False,True,False,False,False,False,False
2lna_sh,True,True,True,False,False,False,False
2lon_sh,True,True,True,False,False,False,False
2loo_sh,True,True,True,True,True,True,True
2lsa_sh,True,True,False,False,False,False,False
2m1s_sh,False,True,False,False,False,False,False
2m1w_sh,True,True,True,False,False,False,False
2m3u_sh,True,True,True,True,True,True,True
2m4l_sh,True,True,True,False,False,False,False
2m9p_sh,True,True,True,False,False,False,False
2mc0_sh,True,True,True,False,False,False,False
2mou_sh,True,True,True,False,False,False,False
2msv_sh,True,True,True,False,False,False,False
2mtc_sh,True,True,True,False,False,False,False
2mzs_sh,True,True,True,False,False,False,False
2n3z_sh,True,True,True,True,True,True,True
2n75_sh,True,True,True,True,True,True,True
2n8x_sh,False,True,False,False,False,False,False
2noc_sh,True,True,True,False,False,False,False
2osg_sh,True,True,False,False,False,False,False
2rs6_sh,True,True,True,True,True,True,True
2xks_sh,True,True,False,False,False,False,False
2yua_sh,True,True,False,False,False,False,False
4cpg_sh,True,True,True,False,False,False,False
5gcn_sh,True,True,False,False,False,False,False
5iq5_sh,True,True,True,False,False,False,False
5k57_sh,True,True,True,False,False,False,False
5kqx,True,True,True,False,False,False,False
5t9w_sh,True,True,True,False,False,False,False
9pcy_sh,True,True,True,False,False,False,False
